geohash,no_poi,maxspeed
w21xwdj,1.0,50.0
w21xwdj,1.0,50.0
w21xwdj,1.0,50.0
w21xwdj,1.0,50.0
w21xwdj,1.0,50.0
w21xwdj,1.0,50.0
w21xwdj,1.0,50.0
w21xwdj,1.0,50.0
w21xwhz,1.0,
w21xwjz,2.0,
w21xwk0,1.0,
w21xwk2,1.0,
w21xwm6,1.0,80.0
w21xwm6,1.0,50.0
w21xwm6,1.0,50.0
w21xwm6,1.0,50.0
w21xwm6,1.0,10.0
w21xwm6,1.0,80.0
w21xwm6,1.0,50.0
w21xwm6,1.0,50.0
w21xx1x,1.0,50.0
w21xx1x,1.0,50.0
w21xx1x,1.0,50.0
w21xx1x,1.0,50.0
w21xx1x,1.0,50.0
w21xx1x,1.0,50.0
w21xx32,3.0,60.0
w21xx32,3.0,60.0
w21xx38,12.0,50.0
w21xx38,12.0,50.0
w21xx38,12.0,60.0
w21xx38,12.0,60.0
w21xx38,12.0,50.0
w21xx38,12.0,60.0
w21xx38,12.0,60.0
w21xx38,12.0,50.0
w21xx38,12.0,50.0
w21xx38,12.0,50.0
w21xx38,12.0,60.0
w21xx38,12.0,60.0
w21xx3g,1.0,
w21xx64,1.0,70.0
w21xx64,1.0,50.0
w21xx64,1.0,70.0
w21xx64,1.0,70.0
w21xx65,2.0,70.0
w21xx65,2.0,70.0
w21xx9g,3.0,50.0
w21xx9g,3.0,50.0
w21xx9g,3.0,50.0
w21xx9g,3.0,50.0
w21xx9g,3.0,50.0
w21xx9g,3.0,50.0
w21xx9g,3.0,50.0
w21xx9g,3.0,50.0
w21xx9h,1.0,50.0
w21xx9h,1.0,50.0
w21xx9h,1.0,50.0
w21xxb7,4.0,
w21xxbh,4.0,
w21xxbj,3.0,
w21xxbk,6.0,
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdw,2.0,50.0
w21xxdy,1.0,70.0
w21xxdy,1.0,70.0
w21xxe7,1.0,50.0
w21xxe7,1.0,50.0
w21xxe7,1.0,50.0
w21xxej,1.0,70.0
w21xxej,1.0,70.0
w21xxej,1.0,60.0
w21xxej,1.0,60.0
w21xxej,1.0,70.0
w21xxej,1.0,50.0
w21xxej,1.0,50.0
w21xxej,1.0,60.0
w21xxej,1.0,60.0
w21xxej,1.0,60.0
w21xxej,1.0,70.0
w21xxej,1.0,60.0
w21xxem,4.0,60.0
w21xxem,4.0,60.0
w21xxem,4.0,60.0
w21xxem,4.0,50.0
w21xxem,4.0,60.0
w21xxem,4.0,50.0
w21xxem,4.0,60.0
w21xxem,4.0,50.0
w21xxem,4.0,50.0
w21xxem,4.0,50.0
w21xxeq,3.0,50.0
w21xxet,4.0,50.0
w21xxet,4.0,50.0
w21xxet,4.0,60.0
w21xxex,1.0,40.0
w21xxex,1.0,50.0
w21xxex,1.0,40.0
w21xxex,1.0,40.0
w21xxex,1.0,50.0
w21xxex,1.0,50.0
w21xxex,1.0,40.0
w21xxex,1.0,40.0
w21xxex,1.0,40.0
w21xxex,1.0,40.0
w21xxez,1.0,40.0
w21xxez,1.0,40.0
w21xxg3,1.0,40.0
w21xxg3,1.0,40.0
w21xxg3,1.0,40.0
w21xxg3,1.0,50.0
w21xxg3,1.0,50.0
w21xxg3,1.0,40.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxge,7.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgg,5.0,50.0
w21xxgh,1.0,70.0
w21xxgh,1.0,70.0
w21xxgs,4.0,70.0
w21xxgu,31.0,50.0
w21xxgv,4.0,50.0
w21xxgv,4.0,70.0
w21xxgv,4.0,70.0
w21xxgv,4.0,50.0
w21xxgv,4.0,70.0
w21xxgv,4.0,50.0
w21xxgv,4.0,50.0
w21xxgv,4.0,70.0
w21xxgv,4.0,70.0
w21xxgv,4.0,70.0
w21xxgv,4.0,50.0
w21xxgv,4.0,70.0
w21xxjr,1.0,40.0
w21xxjz,1.0,40.0
w21xxjz,1.0,40.0
w21xxjz,1.0,40.0
w21xxjz,1.0,40.0
w21xxjz,1.0,40.0
w21xxjz,1.0,40.0
w21xxjz,1.0,40.0
w21xxk6,3.0,40.0
w21xxk6,3.0,40.0
w21xxk6,3.0,40.0
w21xxk7,4.0,40.0
w21xxk7,4.0,40.0
w21xxk9,1.0,
w21xxkb,1.0,40.0
w21xxkb,1.0,40.0
w21xxkb,1.0,40.0
w21xxkc,1.0,
w21xxke,2.0,40.0
w21xxke,2.0,40.0
w21xxke,2.0,40.0
w21xxke,2.0,40.0
w21xxke,2.0,40.0
w21xxke,2.0,40.0
w21xxke,2.0,40.0
w21xxke,2.0,40.0
w21xxkg,1.0,40.0
w21xxkg,1.0,40.0
w21xxkg,1.0,40.0
w21xxkr,1.0,40.0
w21xxkr,1.0,40.0
w21xxkr,1.0,40.0
w21xxkr,1.0,40.0
w21xxkr,1.0,40.0
w21xxkt,1.0,40.0
w21xxkt,1.0,40.0
w21xxkt,1.0,40.0
w21xxkt,1.0,40.0
w21xxm1,8.0,
w21xxm3,6.0,40.0
w21xxm3,6.0,40.0
w21xxm3,6.0,40.0
w21xxm3,6.0,40.0
w21xxm3,6.0,40.0
w21xxm4,6.0,
w21xxm5,1.0,40.0
w21xxm5,1.0,40.0
w21xxm6,1.0,40.0
w21xxm6,1.0,40.0
w21xxm6,1.0,40.0
w21xxm6,1.0,40.0
w21xxm7,1.0,
w21xxm8,1.0,
w21xxmf,1.0,40.0
w21xxmf,1.0,40.0
w21xxmf,1.0,40.0
w21xxmf,1.0,40.0
w21xxmf,1.0,40.0
w21xxmf,1.0,40.0
w21xxmf,1.0,40.0
w21xxmh,1.0,40.0
w21xxmh,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmj,1.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmm,5.0,40.0
w21xxmp,1.0,40.0
w21xxmp,1.0,40.0
w21xxmp,1.0,40.0
w21xxms,1.0,40.0
w21xxms,1.0,40.0
w21xxms,1.0,40.0
w21xxms,1.0,40.0
w21xxmu,1.0,
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmw,1.0,40.0
w21xxmx,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxmz,1.0,40.0
w21xxq4,1.0,40.0
w21xxq4,1.0,40.0
w21xxq4,1.0,40.0
w21xxq4,1.0,40.0
w21xxq4,1.0,40.0
w21xxq7,1.0,40.0
w21xxq7,1.0,40.0
w21xxqj,1.0,40.0
w21xxqj,1.0,40.0
w21xxqj,1.0,40.0
w21xxqj,1.0,40.0
w21xxqj,1.0,40.0
w21xxqp,1.0,40.0
w21xxqp,1.0,40.0
w21xxqp,1.0,40.0
w21xxqp,1.0,40.0
w21xxqp,1.0,40.0
w21xxqr,2.0,40.0
w21xxqt,1.0,40.0
w21xxqt,1.0,40.0
w21xxqt,1.0,40.0
w21xxqw,1.0,40.0
w21xxqw,1.0,40.0
w21xxqw,1.0,40.0
w21xxqw,1.0,40.0
w21xxqw,1.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxqx,2.0,40.0
w21xxs1,16.0,50.0
w21xxs1,16.0,50.0
w21xxs4,7.0,50.0
w21xxs4,7.0,50.0
w21xxs4,7.0,50.0
w21xxs4,7.0,50.0
w21xxs5,1.0,60.0
w21xxs5,1.0,60.0
w21xxs5,1.0,60.0
w21xxs6,9.0,60.0
w21xxs6,9.0,60.0
w21xxs6,9.0,50.0
w21xxs6,9.0,50.0
w21xxs6,9.0,60.0
w21xxs6,9.0,50.0
w21xxs6,9.0,60.0
w21xxs6,9.0,60.0
w21xxs6,9.0,50.0
w21xxs6,9.0,50.0
w21xxs7,1.0,60.0
w21xxs7,1.0,60.0
w21xxs7,1.0,50.0
w21xxs7,1.0,50.0
w21xxs7,1.0,50.0
w21xxs7,1.0,50.0
w21xxs7,1.0,60.0
w21xxs7,1.0,50.0
w21xxs7,1.0,50.0
w21xxs7,1.0,50.0
w21xxs7,1.0,60.0
w21xxs7,1.0,60.0
w21xxs7,1.0,60.0
w21xxs7,1.0,60.0
w21xxs7,1.0,60.0
w21xxs7,1.0,50.0
w21xxs7,1.0,50.0
w21xxs7,1.0,50.0
w21xxs7,1.0,60.0
w21xxs8,1.0,
w21xxs9,2.0,60.0
w21xxs9,2.0,60.0
w21xxsd,1.0,60.0
w21xxsd,1.0,50.0
w21xxsd,1.0,60.0
w21xxse,1.0,50.0
w21xxsj,6.0,50.0
w21xxsj,6.0,70.0
w21xxsj,6.0,70.0
w21xxsj,6.0,70.0
w21xxsj,6.0,70.0
w21xxsj,6.0,50.0
w21xxsj,6.0,50.0
w21xxsj,6.0,50.0
w21xxsj,6.0,50.0
w21xxsj,6.0,50.0
w21xxsj,6.0,50.0
w21xxsj,6.0,70.0
w21xxsj,6.0,50.0
w21xxsj,6.0,70.0
w21xxsj,6.0,50.0
w21xxsj,6.0,50.0
w21xxsj,6.0,70.0
w21xxsj,6.0,70.0
w21xxsm,1.0,50.0
w21xxsm,1.0,70.0
w21xxsm,1.0,50.0
w21xxsm,1.0,50.0
w21xxsm,1.0,70.0
w21xxsm,1.0,50.0
w21xxsm,1.0,70.0
w21xxsm,1.0,50.0
w21xxsm,1.0,50.0
w21xxsm,1.0,70.0
w21xxsm,1.0,50.0
w21xxsn,1.0,50.0
w21xxsn,1.0,50.0
w21xxsn,1.0,50.0
w21xxsn,1.0,50.0
w21xxsq,2.0,70.0
w21xxsv,1.0,50.0
w21xxsv,1.0,50.0
w21xxsv,1.0,50.0
w21xxsv,1.0,50.0
w21xxsv,1.0,50.0
w21xxsv,1.0,50.0
w21xxsy,1.0,
w21xxt4,1.0,50.0
w21xxt4,1.0,50.0
w21xxt7,1.0,40.0
w21xxtn,1.0,50.0
w21xxtn,1.0,50.0
w21xxtn,1.0,50.0
w21xxtn,1.0,50.0
w21xxtn,1.0,50.0
w21xxtr,1.0,40.0
w21xxtr,1.0,50.0
w21xxtr,1.0,40.0
w21xxtr,1.0,50.0
w21xxtr,1.0,50.0
w21xxtr,1.0,40.0
w21xxtr,1.0,50.0
w21xxtr,1.0,40.0
w21xxtr,1.0,40.0
w21xxtr,1.0,50.0
w21xxtr,1.0,50.0
w21xxtr,1.0,50.0
w21xxtw,9.0,50.0
w21xxtw,9.0,50.0
w21xxtw,9.0,50.0
w21xxu2,1.0,40.0
w21xxu2,1.0,40.0
w21xxu2,1.0,40.0
w21xxu2,1.0,40.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu5,2.0,50.0
w21xxu6,2.0,50.0
w21xxu6,2.0,50.0
w21xxu6,2.0,50.0
w21xxu6,2.0,50.0
w21xxu6,2.0,50.0
w21xxu6,2.0,50.0
w21xxu6,2.0,50.0
w21xxu8,1.0,40.0
w21xxu9,1.0,40.0
w21xxu9,1.0,40.0
w21xxuc,1.0,50.0
w21xxuc,1.0,70.0
w21xxuc,1.0,70.0
w21xxuc,1.0,50.0
w21xxuc,1.0,50.0
w21xxuc,1.0,50.0
w21xxuc,1.0,70.0
w21xxuc,1.0,70.0
w21xxuc,1.0,70.0
w21xxuc,1.0,50.0
w21xxuc,1.0,50.0
w21xxuc,1.0,70.0
w21xxuc,1.0,70.0
w21xxuc,1.0,70.0
w21xxuc,1.0,70.0
w21xxuf,2.0,50.0
w21xxuf,2.0,50.0
w21xxuf,2.0,50.0
w21xxuf,2.0,50.0
w21xxuf,2.0,50.0
w21xxuf,2.0,50.0
w21xxuh,2.0,50.0
w21xxuh,2.0,50.0
w21xxuh,2.0,50.0
w21xxuh,2.0,50.0
w21xxuh,2.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuj,1.0,50.0
w21xxuu,1.0,60.0
w21xxuu,1.0,60.0
w21xxuu,1.0,60.0
w21xxv0,1.0,
w21xxv7,1.0,70.0
w21xxv7,1.0,50.0
w21xxv7,1.0,50.0
w21xxv7,1.0,60.0
w21xxv7,1.0,60.0
w21xxv7,1.0,60.0
w21xxv7,1.0,60.0
w21xxv7,1.0,60.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvb,1.0,50.0
w21xxvc,1.0,50.0
w21xxvc,1.0,50.0
w21xxvc,1.0,50.0
w21xxvd,2.0,60.0
w21xxvd,2.0,60.0
w21xxvd,2.0,60.0
w21xxvd,2.0,60.0
w21xxvd,2.0,60.0
w21xxvd,2.0,60.0
w21xxvr,1.0,40.0
w21xxvr,1.0,40.0
w21xxvs,1.0,50.0
w21xxvs,1.0,50.0
w21xxvs,1.0,50.0
w21xxvs,1.0,50.0
w21xxvs,1.0,50.0
w21xxvs,1.0,50.0
w21xxvs,1.0,50.0
w21xxvy,1.0,40.0
w21xxvy,1.0,70.0
w21xxvy,1.0,50.0
w21xxvy,1.0,50.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,40.0
w21xxvy,1.0,70.0
w21xxw5,2.0,
w21xxwb,1.0,40.0
w21xxwb,1.0,50.0
w21xxwb,1.0,40.0
w21xxwb,1.0,50.0
w21xxwd,2.0,
w21xxy6,2.0,40.0
w21xxy6,2.0,50.0
w21xxy6,2.0,50.0
w21xxy6,2.0,40.0
w21xxy6,2.0,50.0
w21xzcc,1.0,60.0
w21xzcc,1.0,60.0
w21xzcc,1.0,50.0
w21xzcc,1.0,60.0
w21xzd4,1.0,50.0
w21xzd4,1.0,50.0
w21xzd4,1.0,50.0
w21xzkp,1.0,40.0
w21xzsb,1.0,
w21xzsg,1.0,
w21ycx2,1.0,
w21ygjv,1.0,
w21ygn6,1.0,
w21ygnk,2.0,
w21ygqg,1.0,
w21ygqs,2.0,
w21ygqt,2.0,
w21ygqu,4.0,
w21ygqv,1.0,
w21z2yw,2.0,50.0
w21z2yw,2.0,50.0
w21z2zj,1.0,50.0
w21z2zj,1.0,50.0
w21z2zj,1.0,50.0
w21z35m,1.0,
w21z35r,1.0,50.0
w21z35v,1.0,
w21z35w,1.0,
w21z35x,1.0,70.0
w21z35x,1.0,70.0
w21z35x,1.0,50.0
w21z35x,1.0,50.0
w21z35x,1.0,70.0
w21z35x,1.0,50.0
w21z35y,2.0,
w21z36f,1.0,70.0
w21z36f,1.0,70.0
w21z36f,1.0,50.0
w21z36f,1.0,50.0
w21z36k,1.0,50.0
w21z36s,4.0,70.0
w21z370,2.0,60.0
w21z370,2.0,60.0
w21z370,2.0,50.0
w21z370,2.0,50.0
w21z370,2.0,50.0
w21z370,2.0,60.0
w21z370,2.0,60.0
w21z370,2.0,50.0
w21z370,2.0,60.0
w21z370,2.0,50.0
w21z370,2.0,60.0
w21z370,2.0,50.0
w21z370,2.0,50.0
w21z373,14.0,60.0
w21z373,14.0,60.0
w21z373,14.0,60.0
w21z373,14.0,60.0
w21z373,14.0,50.0
w21z373,14.0,50.0
w21z373,14.0,60.0
w21z373,14.0,60.0
w21z373,14.0,50.0
w21z373,14.0,60.0
w21z373,14.0,60.0
w21z373,14.0,50.0
w21z373,14.0,60.0
w21z373,14.0,50.0
w21z373,14.0,50.0
w21z373,14.0,50.0
w21z373,14.0,60.0
w21z373,14.0,50.0
w21z373,14.0,50.0
w21z373,14.0,50.0
w21z374,2.0,60.0
w21z374,2.0,60.0
w21z374,2.0,50.0
w21z374,2.0,50.0
w21z374,2.0,60.0
w21z374,2.0,60.0
w21z374,2.0,60.0
w21z374,2.0,50.0
w21z374,2.0,60.0
w21z374,2.0,60.0
w21z374,2.0,60.0
w21z374,2.0,50.0
w21z375,2.0,50.0
w21z375,2.0,50.0
w21z375,2.0,50.0
w21z375,2.0,60.0
w21z375,2.0,60.0
w21z375,2.0,60.0
w21z375,2.0,50.0
w21z375,2.0,60.0
w21z376,5.0,50.0
w21z376,5.0,50.0
w21z376,5.0,60.0
w21z376,5.0,60.0
w21z378,1.0,10.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,10.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z378,1.0,50.0
w21z379,1.0,
w21z37d,1.0,15.0
w21z37d,1.0,60.0
w21z37d,1.0,60.0
w21z37d,1.0,5.0
w21z37d,1.0,15.0
w21z37d,1.0,15.0
w21z37d,1.0,15.0
w21z37d,1.0,60.0
w21z37d,1.0,60.0
w21z37d,1.0,15.0
w21z37d,1.0,15.0
w21z37d,1.0,15.0
w21z37d,1.0,60.0
w21z37d,1.0,60.0
w21z37d,1.0,60.0
w21z37d,1.0,15.0
w21z37d,1.0,60.0
w21z37d,1.0,60.0
w21z37d,1.0,60.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,50.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37g,1.0,40.0
w21z37h,1.0,50.0
w21z37h,1.0,50.0
w21z37h,1.0,60.0
w21z37h,1.0,60.0
w21z37h,1.0,60.0
w21z37h,1.0,50.0
w21z37h,1.0,50.0
w21z37h,1.0,60.0
w21z37h,1.0,50.0
w21z37h,1.0,60.0
w21z37h,1.0,50.0
w21z37j,1.0,40.0
w21z37j,1.0,50.0
w21z37j,1.0,40.0
w21z37j,1.0,50.0
w21z37j,1.0,50.0
w21z37j,1.0,50.0
w21z37j,1.0,60.0
w21z37n,4.0,40.0
w21z37n,4.0,40.0
w21z37n,4.0,40.0
w21z37n,4.0,40.0
w21z37n,4.0,50.0
w21z37p,6.0,40.0
w21z37p,6.0,40.0
w21z37p,6.0,40.0
w21z37q,2.0,40.0
w21z37q,2.0,40.0
w21z37r,2.0,
w21z37s,1.0,
w21z37t,4.0,
w21z37u,6.0,40.0
w21z37u,6.0,40.0
w21z37u,6.0,40.0
w21z37v,5.0,
w21z37w,4.0,40.0
w21z37y,1.0,
w21z38y,1.0,70.0
w21z38y,1.0,60.0
w21z38y,1.0,50.0
w21z38y,1.0,50.0
w21z38y,1.0,40.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,40.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,40.0
w21z38y,1.0,50.0
w21z38y,1.0,40.0
w21z38y,1.0,50.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,40.0
w21z38y,1.0,40.0
w21z38y,1.0,50.0
w21z38y,1.0,40.0
w21z38y,1.0,50.0
w21z38y,1.0,40.0
w21z38y,1.0,70.0
w21z38y,1.0,40.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,60.0
w21z38y,1.0,40.0
w21z39c,1.0,
w21z39e,1.0,70.0
w21z39e,1.0,70.0
w21z39e,1.0,60.0
w21z39e,1.0,60.0
w21z39e,1.0,70.0
w21z39e,1.0,60.0
w21z39n,2.0,50.0
w21z39n,2.0,50.0
w21z39n,2.0,60.0
w21z39n,2.0,60.0
w21z39n,2.0,60.0
w21z39n,2.0,60.0
w21z39p,1.0,50.0
w21z39p,1.0,50.0
w21z39p,1.0,40.0
w21z39p,1.0,50.0
w21z39p,1.0,50.0
w21z39p,1.0,50.0
w21z39p,1.0,40.0
w21z3b6,1.0,50.0
w21z3b6,1.0,50.0
w21z3b6,1.0,50.0
w21z3b6,1.0,50.0
w21z3b6,1.0,50.0
w21z3b6,1.0,60.0
w21z3b6,1.0,60.0
w21z3b6,1.0,60.0
w21z3b6,1.0,60.0
w21z3b6,1.0,50.0
w21z3b6,1.0,60.0
w21z3b6,1.0,50.0
w21z3b6,1.0,60.0
w21z3b6,1.0,60.0
w21z3b6,1.0,60.0
w21z3b7,4.0,50.0
w21z3b7,4.0,50.0
w21z3b7,4.0,60.0
w21z3b7,4.0,60.0
w21z3b7,4.0,60.0
w21z3b7,4.0,50.0
w21z3b7,4.0,60.0
w21z3b7,4.0,50.0
w21z3b9,2.0,50.0
w21z3b9,2.0,50.0
w21z3b9,2.0,50.0
w21z3b9,2.0,50.0
w21z3b9,2.0,50.0
w21z3b9,2.0,50.0
w21z3bc,1.0,50.0
w21z3bc,1.0,50.0
w21z3bc,1.0,50.0
w21z3bc,1.0,50.0
w21z3bc,1.0,50.0
w21z3bc,1.0,50.0
w21z3bc,1.0,50.0
w21z3bc,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bf,1.0,50.0
w21z3bj,5.0,50.0
w21z3bj,5.0,50.0
w21z3bj,5.0,60.0
w21z3bj,5.0,60.0
w21z3bj,5.0,60.0
w21z3bj,5.0,50.0
w21z3bj,5.0,60.0
w21z3bj,5.0,50.0
w21z3bj,5.0,50.0
w21z3bj,5.0,60.0
w21z3bj,5.0,50.0
w21z3bj,5.0,50.0
w21z3bj,5.0,50.0
w21z3bj,5.0,60.0
w21z3bj,5.0,60.0
w21z3bj,5.0,60.0
w21z3bk,1.0,50.0
w21z3bq,1.0,
w21z3bu,5.0,50.0
w21z3bu,5.0,50.0
w21z3by,2.0,60.0
w21z3by,2.0,60.0
w21z3bz,5.0,
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c0,1.0,50.0
w21z3c5,1.0,
w21z3c6,2.0,15.0
w21z3c7,4.0,
w21z3c9,2.0,15.0
w21z3cc,7.0,15.0
w21z3cc,7.0,15.0
